CustomerID,TransactionFreq,Satisfaction
1001,12,3
1002,6,4
1003,11,3
1004,14,4
1005,7,4
1006,8,5
1007,9,2
1008,11,5
1009,8,3
1010,10,2
1011,7,3
1012,11,5
1013,11,3
1014,8,3
1015,12,4
1016,6,2
1017,7,1
1018,8,2
1019,10,2
1020,5,2
1021,3,2
1022,9,4
1023,13,2
1024,8,3
1025,6,4
1026,13,3
1027,12,4
1028,13,2
1029,9,2
1030,14,1
1031,8,2
1032,8,2
1033,12,2
1034,15,1
1035,13,2
1036,13,3
1037,10,2
1038,8,3
1039,15,3
1040,9,4
1041,7,1
1042,8,4
1043,13,4
1044,15,1
1045,8,4
1046,7,5
1047,9,1
1048,6,2
1049,16,4
1050,10,4
1051,18,2
1052,10,2
1053,8,3
1054,11,3
1055,3,4
1056,15,3
1057,6,3
1058,7,4
1059,9,1
1060,11,2
1061,8,4
1062,12,4
1063,10,3
1064,11,3
1065,12,2
1066,16,3
1067,8,3
1068,7,2
1069,13,2
1070,10,3
1071,15,1
1072,8,3
1073,11,2
1074,11,3
1075,5,2
1076,10,4
1077,11,3
1078,12,4
1079,8,4
1080,11,3
1081,11,1
1082,5,3
1083,8,3
1084,13,4
1085,11,3
1086,7,2
1087,8,2
1088,11,3
1089,15,4
1090,8,3
1091,14,3
1092,6,5
1093,16,4
1094,11,2
1095,6,2
1096,14,2
1097,12,2
1098,9,2
1099,10,2
1100,13,2
1101,15,2
1102,9,4
1103,11,1
1104,10,3
1105,8,3
1106,1,5
1107,13,2
1108,6,3
1109,13,5
1110,11,4
1111,10,4
1112,10,2
1113,13,2
1114,9,4
1115,9,5
1116,6,3
1117,10,3
1118,12,2
1119,17,4
1120,10,2
1121,9,3
1122,9,3
1123,3,3
1124,10,2
1125,10,2
1126,6,4
1127,9,2
1128,11,3
1129,9,2
1130,10,3
1131,11,3
1132,16,1
1133,9,3
1134,10,2
1135,16,1
1136,7,5
1137,5,3
1138,5,4
1139,4,2
1140,14,4
1141,13,4
1142,8,3
1143,12,3
1144,9,3
1145,14,3
1146,12,5
1147,10,4
1148,9,5
1149,15,2
1150,17,4
1151,11,5
1152,8,2
1153,5,1
1154,9,4
1155,8,3
1156,6,4
1157,11,2
1158,5,4
1159,12,2
1160,9,2
1161,9,2
1162,13,4
1163,9,4
1164,5,3
1165,3,3
1166,12,4
1167,18,3
1168,8,4
1169,11,3
1170,9,3
1171,3,3
1172,10,3
1173,8,4
1174,10,3
1175,11,2
1176,12,4
1177,8,3
1178,12,3
1179,11,5
1180,3,4
1181,9,2
1182,11,5
1183,14,4
1184,9,3
1185,14,2
1186,9,4
1187,17,4
1188,7,3
1189,11,4
1190,10,4
1191,10,2
1192,10,3
1193,14,2
1194,6,4
1195,13,1
1196,12,3
1197,6,4
1198,8,4
1199,9,3
1200,15,4
